,Features,Oracle,MySQL,Microsoft SQL Server,PostgreSQL,MongoDB,IBM Db2,Redis,Elasticsearch,SQLite,Microsoft Access,Cassandra,MariaDB,Splunk,Hive,Teradata,Microsoft Azure SQL Database,Amazon DynamoDB,Neo4j,SAP Adaptive Server,SAP HANA
10,Cloud-based only Only available as a cloud service,no,no,no,no,no MongoDB available as DBaaS (MongoDB Atlas),no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no also available as a cloud based service
11,"DBaaS offerings (sponsored links) Database as a ServiceProviders of DBaaS offerings, please contact us to be listed.",,,,,,,,,,,,,,,,,,,,
12,Implementation language,C and C++,C and C++,C++,C,C++,C and C++,C,Java,C,C++,Java,C and C++,,Java,,C++,,"Java, Scala",C and C++,
13,Server operating systems,AIXHP-UXLinuxOS XSolarisWindowsz/OS,FreeBSDLinuxOS XSolarisWindows,LinuxWindows,FreeBSDHP-UXLinuxNetBSDOpenBSDOS XSolarisUnixWindows,LinuxOS XSolarisWindows,AIXHP-UXLinuxSolarisWindowsz/OS,"BSDLinuxOS XWindows ported and maintained by Microsoft Open Technologies, Inc.",All OS with a Java VM,server-less,"Windows Not a real database server, but making use of DLLs",BSDLinuxOS XWindows,FreeBSDLinuxSolarisWindows ColumnStore storage engine not available on Windows,LinuxOS XSolarisWindows,All OS with a Java VM,hostedLinux,hosted,hosted,Linux Can also be used server-less as embedded Java database.OS XSolarisWindows,AIXHP-UXLinuxSolarisUnixWindows,Appliance or cloud-service
14,Data scheme,yes Schemaless in JSON and XML columns,yes,yes,yes,"schema-free Although schema-free, documents of the same collection often follow the same structure. Optionally impose all or part of a schema by defining a JSON schema.",yes,schema-free,"schema-free Flexible type definitions. Once a type is defined, it is persistent",yes dynamic column types,yes,schema-free,yes Dynamic columns are supported,yes,yes,yes,yes,schema-free,schema-free and schema-optional,yes,yes
15,Typing predefined data types such as float or date,yes,yes,yes,yes,"yes string, integer, double, decimal, boolean, date, object_id, geospatial",yes,"partial Supported data types are strings, hashes, lists, sets and sorted sets, bit arrays, hyperloglogs and geospatial indexes",yes,yes not rigid because of 'dynamic typing' concept.,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
16,"XML support Some form of processing data in XML format, e.g. support for XML data structures, and/or support for XPath, XQuery or XSLT.",yes,yes,yes,"yes specific XML-type available, but no XML query functionality.",,,no,no,no,,no,yes,yes,,yes,yes,,,no,no
17,Secondary indexes,yes,yes,yes,yes,yes,yes,yes with RediSearch module,yes All search fields are automatically indexed,yes,yes,"restricted only equality queries, not always the best performing solution",yes,yes,yes,"yes Join-index to prejoin tables, aggregate index, sparse index, hash index",yes,yes,"yes pluggable indexing subsystem, by default Apache Lucene",yes,yes
18,SQL Support of SQL,yes with proprietary extensions,yes with proprietary extensions,yes,yes standard with numerous extensions,Read-only SQL queries via the MongoDB Connector for BI,yes,no,SQL-like query language,yes SQL-92 is not fully supported,yes but not compliant to any SQL standard,"SQL-like SELECT, DML and DDL statements (CQL)",yes with proprietary extensions,no Splunk Search Processing Language for search commands,SQL-like DML and DDL statements,yes SQL 2016 + extensions,yes,no,no,yes,yes
19,APIs and other access methods,JDBCODBCODP.NETOracle Call Interface (OCI),ADO.NETJDBCODBCProprietary native API,ADO.NETJDBCODBCOLE DBTabular Data Stream (TDS),ADO.NETJDBCnative C libraryODBCstreaming API for large objects,proprietary protocol using JSON,ADO.NETJDBCJSON style queries MongoDB compatibleODBCXQuery,proprietary protocol RESP - REdis Serialization Protocol,Java APIRESTful HTTP/JSON API,ADO.NET inofficial driverJDBC inofficial driverODBC inofficial driver,ADO.NETDAOODBCOLE DB,"Proprietary protocol CQL (Cassandra Query Language, an SQL-like language)Thrift",ADO.NETJDBCODBCProprietary native API,HTTP REST,JDBCODBCThrift,.NET Client APIHTTP RESTJDBCJMS AdapterODBCOLE DB,ADO.NETJDBCODBC,RESTful HTTP API,Bolt protocolCypher query languageJava APINeo4j-OGM Object Graph MapperRESTful HTTP APISpring Data Neo4jTinkerPop 3,ADO.NETJDBCODBCOLE DBTabular Data Stream (TDS),JDBCODBC
